GEOID,sovi,rank,fema_region
g13287,1.4985464599512068,170.0,FEMA_4
g13289,-1.2824206533601363,531.0,FEMA_4
g13291,2.1015874997485575,125.0,FEMA_4
g13293,1.0056612055817804,229.0,FEMA_4
g13295,-1.811257021544023,595.0,FEMA_4
g13297,-3.5916571713368395,686.0,FEMA_4
g13299,1.638417832574698,154.0,FEMA_4
g13301,1.8797489910013563,142.0,FEMA_4
g13303,1.5002426437885923,169.0,FEMA_4
g13305,-0.5170909458770102,430.0,FEMA_4
g13307,-0.7804600109339953,466.0,FEMA_4
g13309,6.037971865942452,20.0,FEMA_4
g13311,-0.8169598586652984,470.0,FEMA_4
g13313,1.0554563900612888,220.0,FEMA_4
g13315,4.492279944072206,31.0,FEMA_4
g13317,2.4302991925168556,103.0,FEMA_4
g13319,-0.6102029585902509,440.0,FEMA_4
g13321,-0.772894446006539,463.0,FEMA_4
g15001,,,
g15003,,,
g15005,,,
g15007,,,
g15009,,,
g16001,-0.7272341655205008,76.0,FEMA_10
g16003,-0.10962013381075414,67.0,FEMA_10
g16005,-0.13978191626803435,68.0,FEMA_10
g16007,-0.16855455642621825,69.0,FEMA_10
g16009,0.09083749827693728,62.0,FEMA_10
g16011,-0.04044200310486218,65.0,FEMA_10
g16013,-0.34363661203147355,72.0,FEMA_10
g16015,-5.0513610977038,115.0,FEMA_10
g16017,-1.0907551599691836,84.0,FEMA_10
g16019,-1.704590466353194,96.0,FEMA_10
g16021,-0.9631247630457748,81.0,FEMA_10
g16023,-0.1739399160353015,70.0,FEMA_10
g16025,-4.3897833895219955,110.0,FEMA_10
g16027,1.362032508257658,45.0,FEMA_10
g16029,-4.7232930338629515,113.0,FEMA_10
g16031,-0.35127488333805423,73.0,FEMA_10
g16033,-0.6885136267395291,75.0,FEMA_10
g16035,-1.1484657553044284,86.0,FEMA_10
g16037,-4.479138603038064,111.0,FEMA_10
g16039,-1.763498011051324,97.0,FEMA_10
g16041,-6.1144307933575455,117.0,FEMA_10
g16043,-5.499468383879034,116.0,FEMA_10
g16045,2.0565272276214053,27.0,FEMA_10
g16047,-0.38779928657963314,74.0,FEMA_10
g16049,1.5427694267506393,41.0,FEMA_10
g16051,-4.527934062150333,112.0,FEMA_10
g16053,1.3356625747913469,46.0,FEMA_10
g16055,-0.896187102816219,80.0,FEMA_10
g16057,-1.5843271497588578,94.0,FEMA_10
g16059,0.30880184409434386,58.0,FEMA_10
g16061,1.9803907550707973,30.0,FEMA_10
g16063,-1.0038204548847078,82.0,FEMA_10
g16065,-1.9564505607789506,99.0,FEMA_10
g16067,0.6108621346972237,54.0,FEMA_10
g16069,1.314393445447499,47.0,FEMA_10
g16071,-3.696768325218983,107.0,FEMA_10
g16073,1.7516627834822356,36.0,FEMA_10
g16075,1.887199093608805,33.0,FEMA_10
