GEOID,sovi,rank
g18041,2.524433680689277,432.0
g18043,-1.0780522044881762,2143.0
g18045,-1.0678135296202995,2138.0
g18047,-3.1862417508952303,2799.0
g18049,-2.117678592205077,2531.0
g18051,-2.2631308209941094,2564.0
g18053,2.125855849286379,540.0
g18055,-0.8786554924608017,2061.0
g18057,-7.536267833525521,3119.0
g18059,-3.7401565483442383,2896.0
g18061,-3.0071389876756704,2758.0
g18063,-5.338325141345106,3044.0
g18065,-0.2697673181144971,1743.0
g18067,0.9214814484724265,1067.0
g18069,-0.8428342075118869,2038.0
g18071,-1.459287892275368,2314.0
g18073,-2.817782914419972,2714.0
g18075,0.09117201410415038,1530.0
g18077,0.27425491416304915,1430.0
g18079,-2.5289057372558252,2633.0
g18081,-3.3473451432917445,2834.0
g18083,-0.1158997521482521,1646.0
g18085,-2.7008445927741445,2685.0
g18087,-0.5189350246183331,1885.0
g18089,0.892744009534221,1082.0
g18091,-1.3017977594857173,2258.0
g18093,-0.15876665731846856,1675.0
g18095,0.7176810489314722,1182.0
g18097,0.7846946581101113,1145.0
g18099,-1.104136400877755,2156.0
g18101,-2.122498102565155,2533.0
g18103,-1.865513985091276,2450.0
g18105,-2.034302790666211,2504.0
g18107,-0.7275528640856361,1986.0
g18109,-2.786813567224288,2706.0
g18111,-1.2730209808446717,2244.0
g18113,-1.2978894742804863,2257.0
g18115,-0.6631247679341499,1948.0
g18117,-0.38699220657389266,1810.0
g18119,-1.8712622242206647,2452.0
g18121,-1.029898240898999,2114.0
g18123,-2.4583773628296095,2616.0
g18125,-2.496026645358648,2627.0
g18127,-3.2565089224231896,2812.0
g18129,-3.0785074933092407,2777.0
g18131,-1.108857960238004,2161.0
g18133,-3.5507924235796335,2864.0
g18135,-0.11946554128261958,1649.0
g18137,-0.7925704532116704,2012.0
g18139,-1.1060534294155988,2158.0
g18141,0.017353094519287016,1572.0
g18143,-1.204275862018842,2214.0
g18145,-0.9653664561279357,2092.0
g18147,-2.8858730315950436,2727.0
g18149,-0.21511770486421294,1705.0
g18151,-2.4210547453777678,2606.0
g18153,-2.5069561658681794,2628.0
g18155,0.00028081681133418357,1579.0
g18157,-2.641694359232295,2672.0
g18159,-0.5844791216344765,1912.0
g18161,-1.8533698409543846,2445.0
g18163,0.7201498914190174,1178.0
g18165,0.8548656707214088,1107.0
g18167,-0.27943864450951184,1748.0
g18169,1.640004364347531,749.0
g18171,-2.7859736196390172,2705.0
g18173,-3.4390590334339546,2849.0
g18175,-1.7836840550381314,2427.0
g18177,2.668929748800917,403.0
g18179,-0.866699528538436,2052.0
g18181,-0.4313996278898188,1834.0
g18183,-3.189707184668097,2802.0
g19001,0.27245295024174254,1432.0
g19003,1.6350400960691376,750.0
g19005,0.8394270791141507,1117.0
g19007,1.5655808034773961,778.0
g19009,2.5139216429202706,434.0
g19011,-2.1082670650582767,2527.0
g19013,-0.05711364441717648,1611.0
g19015,-1.649226326487107,2375.0
g19017,-1.7188466943977123,2401.0
g19019,-1.9496667460380028,2477.0
g19021,1.1840561811210666,942.0
g19023,0.5063517131865969,1302.0
g19025,2.5740256946601607,421.0
g19027,1.5074487714937173,810.0
g19029,1.5846637306716445,770.0
g19031,-1.2178965974414475,2216.0
g19033,0.8958502705859654,1079.0
g19035,0.666681680932061,1210.0
g19037,-1.5604050171697794,2345.0
g19039,1.5261004208085103,801.0
g19041,0.2653283005793874,1437.0
g19043,0.49024731738774474,1312.0
g19045,-0.16066246930395178,1677.0
g19047,1.4513525001120688,823.0
g19049,-5.412928655489124,3049.0
g19051,-0.13019851523901788,1654.0
g19053,0.8987768578676906,1076.0
g19055,-1.595406313218787,2360.0
g19057,1.3096447448514026,891.0
g19059,-0.29933051261077503,1759.0
g19061,-0.5741250781061866,1907.0
g19063,0.3310031068363679,1405.0
